|novel|brut_sum|brut_type|Total Words|Percentage|field
30|Seelenlicht|138|33|10630|1.2982126058325494|aben_full
31|Shadow Sky|239|38|23403|1.0212365935991112|aben_full
32|Spirit Force|33|19|10297|0.32048169369719337|aben_full
33|Star Dart 2   Die Kinder des Universums|222|41|34381|0.6457054768622205|aben_full
34|Sturmkind 1   Der Tempel der vier Winde |240|43|35761|0.671122172198764|aben_full
35|The Heavy Way|136|33|22479|0.605009119622759|aben_full
36|The Unreal Reality|278|38|28094|0.9895351320566669|aben_full
37|The splintered truth_0|786|61|96768|0.8122519841269842|aben_full
38|The splintered truth_1|837|67|97082|0.8621577635401001|aben_full
39|The splintered truth_2|799|61|96449|0.8284170908977802|aben_full
40|The splintered truth_3|745|58|97016|0.7679145707924465|aben_full
41|The splintered truth_4|662|63|97596|0.6783064879708185|aben_full
42|The splintered truth_5|257|46|43155|0.5955277488124203|aben_full
43|Tokyo Devils  Tokyo Sharks_0|514|55|97746|0.5258527203159209|aben_full
44|Tokyo Devils  Tokyo Sharks_1|528|52|97000|0.5443298969072164|aben_full
45|Tokyo Devils  Tokyo Sharks_2|432|55|97880|0.4413567633837352|aben_full
46|Tokyo Devils  Tokyo Sharks_3|10|8|4109|0.24336821611097592|aben_full
47|Ulrik 2_0|726|59|97277|0.746322357802975|aben_full
48|Ulrik 2_1|554|50|66608|0.8317319240932021|aben_full
49|A Way Out|93|30|12914|0.7201486758556606|aben_full
50|Afrika im Herzen_0|549|51|97613|0.562425086822452|aben_full
51|Afrika im Herzen_1|370|41|66866|0.5533454969640774|aben_full
52|Afterlife|132|21|13869|0.9517629245078953|aben_full
53|Ai e no pasu|102|26|13260|0.7692307692307693|aben_full
54|Alvaro   Der Preis der Freiheit|124|31|18450|0.6720867208672087|aben_full
55|Auf der Suche|99|25|12974|0.7630645907199013|aben_full
56|Außer Kontrolle_0|482|46|97416|0.49478525088281183|aben_full
57|Außer Kontrolle_1|40|25|10482|0.38160656363289447|aben_full
58|Bedrohliche Zeiten|189|37|16819|1.1237291158808491|aben_full
59|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _0|518|57|95754|0.5409695678509514|aben_full
60|Blue Jay Storys   Wohin der Wind dich trägt  Mitmachgeschichte _1|96|30|13261|0.7239273056330594|aben_full
61|Chroniken der Stämme Spotlight  Licht und Schatten  Teil 1 |115|35|11248|1.0224039829302987|aben_full
62|Dark Revolution|112|31|16102|0.6955657682275493|aben_full
63|Das Abenteuer beginnt |92|26|12983|0.7086189632596472|aben_full
64|Das Auge des Horus|49|23|10459|0.46849603212544216|aben_full
65|Das geheimnisvolle Kriegervolk|55|19|10809|0.5088352299010084|aben_full
66|Der Jäger und das Geheimnis von Korinth|104|22|28351|0.36683009417657225|aben_full
67|Der Stein des blauen Mondes|164|37|27769|0.5905866253736181|aben_full
68|Der Waldläufer Nousagi|706|56|88732|0.7956543298922598|aben_full
69|Die Chroniken der Verborgenen Lande   Martin von Wengland   Das Turnier|151|29|22835|0.6612656010510182|aben_full
70|Die Chroniken der Verborgenen Lande   Martin von Wengland   Einer spielt falsch|113|29|19532|0.5785377841490887|aben_full
71|Die Chroniken der Verborgenen Lande   Martin von Wengland   Wirren des Krieges|517|45|60219|0.8585330211395076|aben_full
72|Die Dimension der Piraten|227|38|41371|0.5486935292837978|aben_full
73|Die Erbin Des Diamantdrachens|145|34|29532|0.49099282134633615|aben_full
74|Die Geflügelte Schlange   Erkenntnis|66|25|9886|0.6676107626947198|aben_full
75|Die Gesandten|89|26|14261|0.6240796578080079|aben_full
76|Die Legende von Canaan|198|26|30156|0.6565857540787903|aben_full
77|Die Reise|69|17|11441|0.6030941351280483|aben_full
78|Die Reisende|39|11|12543|0.31093039942597467|aben_full
79|Die Reisenden   Chroniken von Eris|210|44|30159|0.6963095593355217|aben_full
80|Die Spuren der Wölfe|48|14|5444|0.881704628949302|aben_full
81|Die Welt der Former_0|851|61|100156|0.8496745077678822|aben_full
82|Die Welt der Former_1|633|47|77450|0.817301484828922|aben_full
83|Die vier Schlüssel|129|31|27176|0.4746835443037975|aben_full
84|Disteln und Dornen|125|29|11426|1.093996149133555|aben_full
85|Drachenblut|368|37|42775|0.8603156049094097|aben_full
86|Dreamdancer|96|29|16060|0.5977584059775841|aben_full
87|Dying Heartbeat|81|23|13970|0.5798138869005011|aben_full
88|Eine dunkle Vergangenheit|93|28|10262|0.9062560904307152|aben_full
89|Eine kleine Reise   |82|20|23271|0.35236990245369776|aben_full
90|Eine kultivierte Rache   oder wie Tilda in einen Strudel krimineller Umtriebe geriet_0|636|58|97787|0.6503932015503083|aben_full
91|Eine kultivierte Rache   oder wie Tilda in einen Strudel krimineller Umtriebe geriet_1|26|14|4873|0.533552226554484|aben_full
92|Eternal Dreams|70|21|11763|0.5950862875116891|aben_full
93|Ewige Gerechtigkeit|138|32|15291|0.9024916617618207|aben_full
94|Feuerglut|217|33|32761|0.662372943438845|aben_full
95|Flug in den Dschungel|67|20|13070|0.5126243305279266|aben_full
96|Frei |262|33|52143|0.5024643768099265|aben_full
97|Fullmoon Night|122|27|24620|0.49553208773354995|aben_full
98|G A  Auf der Jagd nach dem Doppelgänger|54|19|17528|0.3080785029666819|aben_full
99|Game and Life|55|20|13796|0.39866628008118293|aben_full
100|Gefunden|130|22|18582|0.699601765149069|aben_full
101|Ijslands Lichter|58|22|9522|0.609115731989078|aben_full
102|In einer fremden Welt|194|28|20164|0.9621106923229518|aben_full
103|Ist ein normales Leben zu viel verlangt |223|32|33078|0.6741640969828889|aben_full
104|Jasper Svatsman   Piratengeschichten|210|42|25352|0.828337014831177|aben_full
105|Katsumoto|107|27|15439|0.6930500680095861|aben_full
106|KlingenTakt|389|47|40888|0.9513793778125612|aben_full
107|Kommata|180|35|49221|0.36569756811117204|aben_full
108|Krone der Macht  Arbeitstitel |330|38|37535|0.879179432529639|aben_full
109|Kusuri  der Dämonenarzt  Leseprobe |307|36|38678|0.7937328713997622|aben_full
110|Leben  kämpfen  sterben|112|30|17342|0.6458309306885018|aben_full
111|Lilith   Rose   Worlds Beyond|263|47|52512|0.5008379037172456|aben_full
112|Lost in Death|120|28|16528|0.7260406582768635|aben_full
113|Maria Miller 3   Macht und Schicksal|675|50|61591|1.0959393417869494|aben_full
114|Mein Jahr mit dir|149|31|30604|0.48686446216180895|aben_full
115|Mein neues Leben|261|41|27341|0.9546102922351049|aben_full
116|Mia und Kai   das Verweilen im Nichts   Band II  |273|44|48325|0.5649249870667357|aben_full
117|Miles away|81|28|15665|0.5170762847111394|aben_full
118|MindScan   Beginn einer Rebellion|54|21|20755|0.26017827029631413|aben_full
119|Moenia|145|28|28682|0.5055435464751412|aben_full
120|Natalie|112|21|9909|1.130285598950449|aben_full
121|Nicht gesucht und doch gefunden|139|25|21790|0.6379072969251951|aben_full
122|Nüstern  die das Herz berühren|44|17|9985|0.44066099148723087|aben_full
123|Of traitors and kings Das erste Abenteuer|216|36|34705|0.6223887047975796|aben_full
124|Pact of life|215|32|19573|1.098451949113575|aben_full
125|Pass auf |122|32|12403|0.9836329920180601|aben_full
126|Prinzessin Elisabeth Sophia van Oranie Nassau|61|18|13865|0.43995672556797694|aben_full
127|Qismat Ek Pyaar   Schicksal einer Liebe|46|12|15672|0.293517100561511|aben_full
128|Royals|83|29|14572|0.5695855064507274|aben_full
129|SOLUM_0|393|52|97928|0.40131525202189366|aben_full
130|SOLUM_1|2|2|573|0.34904013961605584|aben_full
131|Santuan   Der Fehler der Meisterwandler|39|16|13364|0.2918287937743191|aben_full
132|Schwert und Flamme|141|32|16066|0.8776297771691772|aben_full
133|Searching for the past|58|21|16685|0.347617620617321|aben_full
134|Sehnsucht nach Frieden|128|34|22212|0.5762650819376913|aben_full
135|Siebenstein|179|33|41347|0.43292137277190607|aben_full
136|Snails Express|89|27|14149|0.6290197187080359|aben_full
137|Stranded|170|31|18363|0.9257746555573707|aben_full
138|Suenos  2009    Die Macht der Katzenaugen  Alte Verfassung |82|34|12388|0.6619309008718114|aben_full
139|Suenos  2016    Im Land der Tackel|122|30|21449|0.5687910858315073|aben_full
140|Tanz der Spione|168|35|20768|0.8089368258859784|aben_full
141|Tanz der Spione 2 |196|36|22382|0.8757036904655526|aben_full
142|Tanz der Spione 3|298|37|34305|0.8686780352718262|aben_full
143|The Last Shinobi|648|44|67004|0.9671064414064833|aben_full
